Country;Score;Property Rights;Judicial Effectiveness;Government Integrity;Tax Burden;Government Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom;Financial Freedom
Lithuania;74.6;89.4;74.6;68.7;76.9;58.8;96;81;60.5;69.2;79.6;70;70
Luxembourg;79.5;97.8;97.2;85.7;62.7;39.4;98.5;89.2;57.5;71.9;79.6;95;80
Madagascar;57;40.8;34.5;25.5;91.1;92.3;66.3;38.1;56.1;70.9;68.8;50;50
Malawi;50.9;49.4;52.3;34.4;77.1;79.4;3.3;31.3;56;58.3;68.8;50;50
Malaysia;67.1;66.3;66.2;51.1;83.9;82.1;48.1;76.6;58.1;79.6;83.4;60;50
Maldives;48.3;51.6;41;40.5;91.5;44.4;0;48.8;58.2;75.2;63.2;35;30
Mali;52.6;23.5;32.9;22.7;70;79.6;60.4;42.4;53.9;77.2;64;65;40
Malta;66.8;86.2;81.5;55;70;57.5;44.8;80.7;65.2;70.5;79.6;60;50
Mauritania;54.9;35.8;28.3;23.8;75.8;81.5;95.4;38.8;53.6;74.6;60.6;50;40
Mauritius;75;86.4;81;53.2;89.8;77.1;64.9;82.9;69.3;67.4;87.4;70;70
Mexico;61.3;41.1;39.9;29.5;75.6;76.5;67.3;71.9;57.6;69.3;72.2;75;60
Micronesia;62.2;70;86.6;56;92.1;0;99.7;54.9;72.5;75.1;75;35;30
Moldova;58.3;40.2;31.3;43.4;92.8;59.5;75.9;66.2;49.1;59.4;77.2;55;50
Mongolia;62.6;49.7;55.4;35.5;85.7;72.6;73.5;67.9;68.1;68.8;74.4;50;50
Montenegro;63.8;58.8;50.1;48.9;88.7;45.2;87.9;70.9;64.4;70.9;79.6;50;50
Morocco;60.3;58.6;32.7;36.9;71.4;67.9;46.2;68.9;48.5;74.7;67.2;75;75
Mozambique;50.7;31.6;44.9;24.9;75.4;68.8;51.9;37.3;47.7;72.3;74;40;40
Namibia;58.7;65;67.3;51.2;69.4;57.9;34.2;61.9;62.9;74.9;70;50;40
Nepal;52.5;38.3;43.3;39.4;83.6;79.5;65.8;64.7;48.3;68.2;58.4;10;30
Netherlands;78.2;95.9;95.7;86.8;54;41.6;94.7;84.8;60.1;74.7;79.6;90;80
New Zealand;78.1;87.5;93.9;91.3;65.4;47.8;77.7;88.7;69.7;74.6;90.4;70;80
Nicaragua;54;28.2;9.1;13.6;77.7;75.9;95.8;55.8;47.3;66.4;68.2;60;50
Niger;51.5;29.6;37.1;31.8;77.9;87.3;34.4;33.8;54;72.6;64;55;40
Nigeria;53.4;25.4;34.1;22.4;85.1;94.5;55.4;38.5;72.8;59.9;67.6;45;40
North Macedonia;63.2;59.1;49.7;43.6;94.8;60.6;50.9;74.2;57.6;65;77.8;65;60
Norway;78.3;97.7;98.5;94.8;62.4;44;96.1;86.7;69.3;70.3;85;75;60
Oman;65.4;74.5;25.5;42.3;97.6;70.8;63.2;68.1;52.2;82.5;78.2;70;60
Pakistan;49.1;29.2;28.9;28.4;78.3;88.9;8.1;51.5;51.8;54.5;69.8;60;40
Panama;65.5;56;49.4;37;86.9;85.2;62.4;73.4;60.7;76.4;78.6;60;60
Papua New Guinea;52.5;44.7;44.2;28.5;72.1;85.5;46.7;35.5;64.6;73.6;79.8;25;30
Paraguay;65.2;45;37.3;27.7;97;87.1;79.3;73.2;48.2;74.6;78.2;75;60
Peru;65.9;44.9;47.3;34;79.4;83.9;89.8;70.6;65.1;73.9;81.6;60;60
Philippines;60.6;47.4;42.5;35.3;79.1;79.9;47.7;69.1;57.7;69.8;79.2;60;60
Poland;67.1;72.3;52.3;58.4;73.8;39.7;75.9;77.8;56.8;68.5;79.6;80;70
Portugal;70.5;90.1;91.3;63.9;59.8;40.2;79.7;79.6;57.1;75.1;79.6;70;60
Qatar;70.2;71.1;42.3;52.6;99.9;78.1;96.2;67.9;59.3;73.2;81.6;60;60
Romania;66.5;81.7;67;49.1;93.7;59.1;36.1;75.1;67.8;69.2;79.6;70;50
Russia;51.6;18.6;28.4;23;87.7;62;97.8;51.3;59;62.2;69.4;30;30
Rwanda;54.8;62;27.1;50.5;81.3;73.8;35;56.8;48.7;67.3;55.2;60;40
Saint Lucia;67;69.5;74.6;59;78.6;82.5;74.3;73.8;64.9;76.6;60;50;40
Saint Vincent and The Grenadines;60.1;69;77.8;61.7;74.9;58.9;4.8;69.4;59.7;76.5;59;70;40
